algorithm,set,reaction_id,name,model,workflow,gradients,success,failure_mode
CI-NEB,sharada,5,bicyclo[1.1.0]butane -> trans-butadiene,UMA-S,low-level refined,4,1,
CI-NEB,sharada,5,bicyclo[1.1.0]butane -> trans-butadiene,UMA-M,native,4,1,
CI-NEB,sharada,5,bicyclo[1.1.0]butane -> trans-butadiene,UMA-M,low-level refined,3,1,
CI-NEB,sharada,5,bicyclo[1.1.0]butane -> trans-butadiene,MACE-OMol25,native,3,1,
CI-NEB,sharada,5,bicyclo[1.1.0]butane -> trans-butadiene,MACE-OMol25,low-level refined,4,1,
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,GFN2-xTB,native,17,0,b
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,GFN2-xTB,low-level refined,167,0,b
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,AIMNet2,native,250,0,d
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,AIMNet2,low-level refined,250,0,d
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,eSEN-S,native,250,0,d
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,eSEN-S,low-level refined,250,0,d
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,UMA-S,native,250,0,d
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,UMA-S,low-level refined,250,0,d
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,UMA-M,native,71,0,b
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,UMA-M,low-level refined,62,0,b
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,MACE-OMol25,native,79,0,b
CI-NEB,sharada,6,parent Diels-Alder cycloaddition,MACE-OMol25,low-level refined,5,0,b
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",GFN2-xTB,native,15,0,b
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",GFN2-xTB,low-level refined,12,0,b
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",AIMNet2,native,250,0,d
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",AIMNet2,low-level refined,250,0,d
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",eSEN-S,native,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",eSEN-S,low-level refined,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",UMA-S,native,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",UMA-S,low-level refined,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",UMA-M,native,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",UMA-M,low-level refined,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",MACE-OMol25,native,3,1,
CI-NEB,sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",MACE-OMol25,low-level refined,3,1,
CI-NEB,sharada,8,C5 <-> C7AX,GFN2-xTB,native,30,1,
CI-NEB,sharada,8,C5 <-> C7AX,GFN2-xTB,low-level refined,13,1,
CI-NEB,sharada,8,C5 <-> C7AX,AIMNet2,native,42,1,
CI-NEB,sharada,8,C5 <-> C7AX,AIMNet2,low-level refined,16,1,c
CI-NEB,sharada,8,C5 <-> C7AX,eSEN-S,native,14,1,
CI-NEB,sharada,8,C5 <-> C7AX,eSEN-S,low-level refined,8,1,
CI-NEB,sharada,8,C5 <-> C7AX,UMA-S,native,21,1,
CI-NEB,sharada,8,C5 <-> C7AX,UMA-S,low-level refined,10,1,
CI-NEB,sharada,8,C5 <-> C7AX,UMA-M,native,14,1,
CI-NEB,sharada,8,C5 <-> C7AX,UMA-M,low-level refined,10,1,
CI-NEB,sharada,8,C5 <-> C7AX,MACE-OMol25,native,20,1,
CI-NEB,sharada,8,C5 <-> C7AX,MACE-OMol25,low-level refined,11,1,
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,GFN2-xTB,native,62,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,GFN2-xTB,low-level refined,51,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,AIMNet2,native,57,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,AIMNet2,low-level refined,54,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,eSEN-S,native,53,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,eSEN-S,low-level refined,54,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,UMA-S,native,250,0,d
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,UMA-S,low-level refined,65,1,
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,UMA-M,native,115,1,
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,UMA-M,low-level refined,250,0,d
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,MACE-OMol25,native,58,0,b
CI-NEB,sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen rearrangement,MACE-OMol25,low-level refined,59,0,b
