rxn,model,F_model,F_dft,mae_force,maxcomp_err,unstable,lambda_min,nfod,breaking_depth,unstable_model,lambda_min_model,breaking_depth_model
rxn2553,esen,0.041178,0.069738,0.018191,0.076262,0,0.12428048,0.076007,0.000,0,0.12395566,0.000
rxn2553,uma-m,0.046073,0.076483,0.012715,0.065530,0,0.12428048,0.076007,0.000,0,0.12398728,0.000
rxn2553,uma-s,0.044648,0.051458,0.012955,0.057782,0,0.12428048,0.076007,0.000,0,0.12426634,0.000
rxn3107,esen,0.006889,0.162832,0.035840,0.162891,1,-0.01254540,0.800608,38.790,1,-0.00432869,4.435
rxn3107,uma-m,0.003978,0.106069,0.023331,0.106116,1,-0.01254540,0.800608,38.790,1,-0.00524765,6.436
rxn3107,uma-s,0.003162,0.157337,0.025009,0.157010,1,-0.01254540,0.800608,38.790,1,-0.00594700,8.531
rxn4003,esen,0.008993,0.049744,0.009077,0.043453,0,0.17508637,0.010029,0.000,0,0.17590804,0.000
rxn4003,uma-m,0.013590,0.041901,0.009014,0.052317,0,0.17508637,0.010029,0.000,0,0.17578335,0.000
rxn4003,uma-s,0.001864,0.039108,0.007968,0.040972,0,0.17508637,0.010029,0.000,0,0.17586356,0.000
rxn4004,esen,0.000679,0.066695,0.011706,0.066787,0,0.15291815,0.009489,0.000,0,0.15280193,0.000
rxn4004,uma-m,0.000474,0.062725,0.010085,0.062459,0,0.15291815,0.009489,0.000,0,0.15280097,0.000
rxn4004,uma-s,0.000408,0.075204,0.011175,0.075103,0,0.15291815,0.009489,0.000,0,0.15277754,0.000
rxn4060,esen,0.000352,0.053532,0.009055,0.053688,0,0.16458139,0.006670,0.000,0,0.16461260,0.000
rxn4060,uma-m,0.000467,0.040471,0.008221,0.040004,0,0.16458139,0.006670,0.000,0,0.16457555,0.000
rxn4060,uma-s,0.000326,0.041875,0.009112,0.042030,0,0.16458139,0.006670,0.000,0,0.16455702,0.000
rxn4063,esen,0.043114,0.090605,0.009419,0.065125,0,0.18308261,0.007984,0.000,0,0.18306966,0.000
rxn4063,uma-m,0.037383,0.092752,0.009190,0.068475,0,0.18308261,0.007984,0.000,0,0.18298111,0.000
rxn4063,uma-s,0.034253,0.084707,0.008504,0.061760,0,0.18308261,0.007984,0.000,0,0.18298533,0.000
rxn4113,esen,0.057740,0.181999,0.040947,0.188824,1,-0.00845798,0.959627,8.351,1,-0.01158262,15.625
rxn4113,uma-m,0.143216,0.185817,0.018733,0.042601,1,-0.00845798,0.959627,8.351,1,-0.14655294,1940.036
rxn4113,uma-s,0.099974,0.169167,0.038899,0.150681,1,-0.00845798,0.959627,8.351,1,-0.00921629,9.793
rxn4114,esen,0.047131,0.055517,0.011524,0.074336,0,0.17696327,0.007904,0.000,0,0.17703014,0.000
rxn4114,uma-m,0.036581,0.051391,0.008195,0.041480,0,0.17696327,0.007904,0.000,0,0.17684381,0.000
rxn4114,uma-s,0.037910,0.034871,0.006006,0.028197,0,0.17696327,0.007904,0.000,0,0.17688620,0.000
rxn4498,esen,0.049378,0.084642,0.027787,0.090358,0,0.17433606,0.012435,0.000,0,0.17343116,0.000
rxn4498,uma-m,0.057904,0.072116,0.016078,0.054845,0,0.17433606,0.012435,0.000,0,0.17425714,0.000
rxn4498,uma-s,0.046334,0.090657,0.020155,0.094214,0,0.17433606,0.012435,0.000,0,0.17436043,0.000
rxn4500,esen,0.078271,0.111307,0.009102,0.033036,0,0.07881728,0.106113,0.000,0,0.07880899,0.000
rxn4500,uma-m,0.089677,0.099877,0.008404,0.040926,0,0.07881728,0.106113,0.000,0,0.07879552,0.000
rxn4500,uma-s,0.091805,0.106447,0.009191,0.053295,0,0.07881728,0.106113,0.000,0,0.07882178,0.000
rxn4513,esen,0.119964,0.146067,0.012797,0.040190,0,0.05819857,0.307267,0.000,0,0.05700396,0.000
rxn4513,uma-m,0.124377,0.149646,0.015166,0.048985,0,0.05819857,0.307267,0.000,0,0.05680931,0.000
rxn4513,uma-s,0.133232,0.154231,0.019038,0.048202,0,0.05819857,0.307267,0.000,0,0.05667292,0.000
rxn4518,esen,0.030672,0.050106,0.017289,0.046753,1,-0.07779870,0.833171,648.484,1,-0.21483454,2974.463
rxn4518,uma-m,0.024591,0.057152,0.010502,0.063197,1,-0.07779870,0.833171,648.484,1,-0.20359927,2789.589
rxn4518,uma-s,0.029826,0.059233,0.014086,0.062534,1,-0.07779870,0.833171,648.484,1,-0.20706752,2852.160
rxn4519,esen,0.044921,0.071215,0.021366,0.067163,0,0.09009292,0.154479,0.000,0,0.09182910,0.000
rxn4519,uma-m,0.000407,0.030463,0.010656,0.030461,0,0.09009292,0.154479,0.000,0,0.09220033,0.000
rxn4519,uma-s,0.003260,0.048000,0.017895,0.047983,0,0.09009292,0.154479,0.000,0,0.09263018,0.000
rxn4522,esen,0.087957,0.071030,0.014298,0.049597,1,-0.03246721,0.730771,183.964,1,-0.16624311,2197.294
rxn4522,uma-m,0.086799,0.080960,0.010734,0.049901,1,-0.03246721,0.730771,183.964,1,-0.16629276,2193.446
rxn4522,uma-s,0.084051,0.072536,0.010904,0.029384,1,-0.03246721,0.730771,183.964,1,-0.16682382,2209.608
