rxn,model,F_model,F_dft,unstable,lambda_min,nfod,breaking_depth
rxn4513,esen,0.119964,0.146067,0,0.05819857,0.307267,0.000
rxn4513,uma-m,0.124377,0.149646,0,0.05819857,0.307267,0.000
rxn4513,uma-s,0.133232,0.154231,0,0.05819857,0.307267,0.000
rxn4518,esen,0.030672,0.050106,1,-0.07779870,0.833171,648.484
rxn4518,uma-m,0.024591,0.057152,1,-0.07779870,0.833171,648.484
rxn4518,uma-s,0.029826,0.059233,1,-0.07779870,0.833171,648.484
rxn4519,esen,0.044921,0.071215,0,0.09009292,0.154479,0.000
rxn4519,uma-m,0.000407,0.030463,0,0.09009292,0.154479,0.000
rxn4519,uma-s,0.003260,0.048000,0,0.09009292,0.154479,0.000
rxn5690,esen,0.022978,0.153524,1,-0.00267845,0.433383,1.264
rxn5690,uma-m,0.028315,0.109817,1,-0.00267845,0.433383,1.264
rxn5690,uma-s,0.027574,0.184252,1,-0.00267845,0.433383,1.264
rxn6196,esen,0.123285,0.139643,1,-0.00686553,0.868898,10.728
rxn6196,uma-m,0.118054,0.143261,1,-0.00686553,0.868898,10.728
rxn6196,uma-s,0.110232,0.091872,1,-0.00686553,0.868898,10.728
rxn7060,esen,0.028368,1.125770,1,-0.00790376,0.788126,22.067
rxn7060,uma-m,0.002260,0.334743,1,-0.00790376,0.788126,22.067
rxn7060,uma-s,0.018863,0.884263,1,-0.00790376,0.788126,22.067
rxn7936,esen,0.121745,0.159720,0,0.00814121,0.727138,0.000
rxn7936,uma-m,0.050618,0.066063,0,0.00814121,0.727138,0.000
rxn7936,uma-s,0.031175,0.111686,0,0.00814121,0.727138,0.000
rxn7937,esen,0.002154,0.225005,0,0.00732605,0.877471,0.000
rxn7937,uma-m,0.002191,0.036709,0,0.00732605,0.877471,0.000
rxn7937,uma-s,0.017209,0.099984,0,0.00732605,0.877471,0.000
rxn7945,esen,0.047060,0.131483,0,0.00433698,0.903300,0.000
rxn7945,uma-m,0.015445,0.081322,0,0.00433698,0.903300,0.000
rxn7945,uma-s,0.014622,0.058574,0,0.00433698,0.903300,0.000
rxn7955,esen,0.049481,0.045952,0,0.07484705,0.219052,0.000
rxn7955,uma-m,0.050726,0.037332,0,0.07484705,0.219052,0.000
rxn7955,uma-s,0.046752,0.060340,0,0.07484705,0.219052,0.000
rxn7957,uma-m,0.009160,0.110792,1,-0.02396317,0.684467,99.789
rxn8827,esen,0.038048,0.230527,1,-0.01095733,0.759862,27.538
rxn8827,uma-m,0.032523,0.130653,1,-0.01095733,0.759862,27.538
rxn8827,uma-s,0.028811,0.176053,1,-0.01095733,0.759862,27.538
rxn8829,esen,0.051553,0.056766,0,0.11405379,0.047832,0.000
rxn8829,uma-m,0.037635,0.044565,0,0.11405379,0.047832,0.000
rxn8829,uma-s,0.039408,0.046648,0,0.11405379,0.047832,0.000
rxn8832,esen,0.037995,0.226758,1,-0.04925497,0.999667,428.017
rxn8832,uma-m,0.034381,0.076704,1,-0.04925497,0.999667,428.017
rxn8832,uma-s,0.028433,0.097456,1,-0.04925497,0.999667,428.017
rxn8837,esen,0.091515,0.096399,1,-0.04400583,0.798303,293.916
rxn8837,uma-m,0.752253,0.757390,1,-0.04400583,0.798303,293.916
rxn8837,uma-s,0.045953,0.748923,1,-0.04400583,0.798303,293.916
rxn8885,esen,0.399534,0.380135,1,-0.01109208,0.922526,42.751
rxn8885,uma-m,0.021909,0.178117,1,-0.01109208,0.922526,42.751
rxn8885,uma-s,0.467814,0.483341,1,-0.01109208,0.922526,42.751
rxn9246,esen,0.073628,0.100371,0,0.15454423,0.014248,0.000
rxn9246,uma-m,0.069841,0.067985,0,0.15454423,0.014248,0.000
rxn9246,uma-s,0.058770,0.073859,0,0.15454423,0.014248,0.000
